Unnamed: 0,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Experience_Category,Age_Category,Job_Level
39,49.0,Male,Bachelor,Sales Executive,21.0,160000.0,China,White,Expert,Senior_Career,Junior
40,34.0,Female,Master,Ux Designer,5.0,80000.0,UK,Asian,Junior,Early_Career,Junior
41,48.0,Male,Master,Operations Director,18.0,190000.0,Canada,Black,Senior,Senior_Career,Senior
42,30.0,Male,Bachelor,Network Engineer,3.0,60000.0,China,Korean,Junior,Early_Career,Junior
43,36.0,Female,Bachelor,Administrative Assistant,8.0,45000.0,UK,Asian,Mid,Mid_Career,Junior
44,41.0,Male,Master,Strategy Consultant,13.0,130000.0,UK,Asian,Senior,Mid_Career,Junior
45,28.0,Female,Bachelor,Copywriter,2.0,40000.0,USA,White,Entry,Early_Career,Junior
46,32.0,Male,Bachelor,Account Manager,5.0,75000.0,Australia,Asian,Junior,Early_Career,Senior
47,45.0,Female,Master,Director Of Marketing,16.0,180000.0,UK,Welsh,Senior,Mid_Career,Senior
48,38.0,Male,PhD,Senior Scientist,11.0,120000.0,Australia,Asian,Senior,Mid_Career,Senior
49,25.0,Male,Bachelor,Help Desk Analyst,0.0,35000.0,USA,Asian,Entry,Young,Junior
50,51.0,Female,Bachelor,Customer Service Manager,22.0,130000.0,China,Korean,Expert,Senior_Career,Senior
51,33.0,Male,Master,Business Intelligence Analyst,7.0,85000.0,Australia,Australian,Mid,Early_Career,Junior
52,40.0,Female,Bachelor,Event Coordinator,12.0,60000.0,China,White,Senior,Mid_Career,Junior
53,47.0,Male,Master,Vp Of Finance,19.0,200000.0,Australia,Asian,Senior,Senior_Career,Junior
54,29.0,Female,Bachelor,Graphic Designer,3.0,50000.0,Canada,Black,Junior,Early_Career,Junior
55,36.0,Male,Bachelor,Sales Manager,9.0,95000.0,China,Korean,Mid,Mid_Career,Senior
56,27.0,Female,Master,Ux Researcher,2.0,65000.0,Canada,White,Entry,Early_Career,Junior
57,43.0,Male,PhD,Senior Engineer,17.0,140000.0,USA,Hispanic,Senior,Mid_Career,Senior
58,30.0,Female,Bachelor,Social Media Manager,4.0,55000.0,Canada,White,Junior,Early_Career,Senior
59,35.0,Male,Master,Product Manager,7.0,105000.0,Canada,Asian,Mid,Early_Career,Senior
60,51.0,Female,Master,Director Of Operations,23.0,170000.0,USA,African American,Expert,Senior_Career,Senior
61,29.0,Male,Bachelor,Marketing Analyst,3.0,50000.0,China,Chinese,Junior,Early_Career,Junior
62,40.0,Female,Bachelor,Hr Manager,12.0,80000.0,China,Korean,Senior,Mid_Career,Senior
63,47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,China,White,Expert,Senior_Career,Senior
64,26.0,Male,Bachelor,Junior Accountant,1.0,35000.0,Australia,Australian,Entry,Early_Career,Junior
65,38.0,Female,Master,Digital Marketing Manager,10.0,90000.0,China,Korean,Mid,Mid_Career,Senior
66,46.0,Male,Bachelor,It Manager,19.0,120000.0,Australia,Australian,Senior,Senior_Career,Senior
67,31.0,Female,Bachelor,Customer Service Representative,5.0,45000.0,Canada,Asian,Junior,Early_Career,Junior
68,34.0,Male,Master,Business Development Manager,8.0,90000.0,Canada,Asian,Mid,Early_Career,Senior
69,49.0,Female,Master,Senior Financial Analyst,18.0,150000.0,Canada,White,Senior,Senior_Career,Senior
70,33.0,Male,Bachelor,Web Developer,6.0,65000.0,USA,Hispanic,Mid,Early_Career,Junior
71,39.0,Female,Bachelor,Recruiter,11.0,70000.0,USA,Asian,Senior,Mid_Career,Junior
72,45.0,Male,PhD,Research Director,16.0,190000.0,UK,Mixed,Senior,Mid_Career,Senior
73,28.0,Male,Bachelor,Technical Support Specialist,2.0,40000.0,China,Korean,Entry,Early_Career,Junior
74,42.0,Female,Master,Creative Director,14.0,120000.0,Canada,Black,Senior,Mid_Career,Senior
75,37.0,Male,Bachelor,Project Manager,10.0,95000.0,USA,Asian,Mid,Mid_Career,Senior
76,50.0,Female,Bachelor,Operations Manager,22.0,160000.0,USA,White,Expert,Senior_Career,Senior
77,32.0,Male,Master,Senior Software Engineer,6.0,100000.0,USA,African American,Mid,Early_Career,Senior
78,48.0,Female,Master,Human Resources Director,20.0,180000.0,Canada,Black,Senior,Senior_Career,Senior
79,30.0,Female,Bachelor,Content Marketing Manager,3.0,55000.0,Australia,White,Junior,Early_Career,Senior
80,36.0,Male,Bachelor,Technical Recruiter,8.0,70000.0,UK,Asian,Mid,Mid_Career,Junior
81,41.0,Female,Master,Data Analyst,13.0,80000.0,USA,White,Senior,Mid_Career,Junior
82,25.0,Male,Bachelor,Sales Representative,0.0,30000.0,Australia,Asian,Entry,Young,Junior
83,52.0,Male,PhD,Chief Technology Officer,24.0,250000.0,Canada,Black,Expert,Senior_Career,Junior
84,29.0,Female,Bachelor,Junior Designer,2.0,40000.0,Australia,Asian,Entry,Early_Career,Junior
85,34.0,Female,Master,Financial Advisor,10.0,95000.0,UK,White,Mid,Early_Career,Junior
86,27.0,Male,Bachelor,Junior Account Manager,2.0,45000.0,Canada,White,Entry,Early_Career,Senior
87,40.0,Female,Bachelor,Hr Generalist,15.0,80000.0,USA,Hispanic,Senior,Mid_Career,Junior
88,46.0,Male,Master,Senior Project Manager,21.0,135000.0,Canada,Asian,Expert,Senior_Career,Senior
89,31.0,Female,Bachelor,Marketing Coordinator,6.0,55000.0,Australia,Asian,Mid,Early_Career,Junior
90,36.0,Male,PhD,Principal Scientist,11.0,120000.0,UK,Mixed,Senior,Mid_Career,Senior
91,29.0,Female,Bachelor,Sales Associate,3.0,40000.0,China,White,Junior,Early_Career,Junior
92,43.0,Male,Bachelor,Supply Chain Manager,18.0,105000.0,UK,Welsh,Senior,Mid_Career,Senior
93,52.0,Female,Master,Senior Marketing Manager,25.0,170000.0,China,Chinese,Expert,Senior_Career,Senior
94,33.0,Male,Bachelor,Business Analyst,7.0,75000.0,Australia,Australian,Mid,Early_Career,Junior
95,39.0,Female,Bachelor,Training Specialist,12.0,65000.0,USA,African American,Senior,Mid_Career,Junior
96,47.0,Male,PhD,Research Scientist,22.0,160000.0,Australia,Asian,Expert,Senior_Career,Junior
97,26.0,Male,Bachelor,Junior Software Developer,1.0,35000.0,China,White,Entry,Early_Career,Junior
98,38.0,Female,Master,Public Relations Manager,10.0,90000.0,UK,Asian,Mid,Mid_Career,Senior
99,45.0,Male,Bachelor,Operations Analyst,20.0,110000.0,China,Chinese,Senior,Mid_Career,Junior
100,31.0,Female,Bachelor,Event Coordinator,5.0,45000.0,Australia,Asian,Junior,Early_Career,Junior
101,35.0,Male,Master,Product Marketing Manager,8.0,95000.0,China,White,Mid,Early_Career,Senior
102,49.0,Female,Master,Senior Hr Manager,19.0,150000.0,Australia,White,Senior,Senior_Career,Senior
103,33.0,Male,Bachelor,Junior Web Developer,5.0,50000.0,Canada,Asian,Junior,Early_Career,Junior
104,39.0,Female,Master,Senior Project Coordinator,13.0,80000.0,UK,Welsh,Senior,Mid_Career,Senior
105,44.0,Male,PhD,Chief Data Officer,16.0,220000.0,USA,African American,Senior,Mid_Career,Junior
106,30.0,Female,Bachelor,Digital Content Producer,3.0,50000.0,UK,White,Junior,Early_Career,Junior
107,36.0,Male,Bachelor,It Support Specialist,7.0,60000.0,USA,Asian,Mid,Mid_Career,Junior
108,41.0,Female,Master,Senior Marketing Analyst,14.0,100000.0,USA,White,Senior,Mid_Career,Senior
109,28.0,Male,Bachelor,Customer Success Manager,2.0,40000.0,USA,Hispanic,Entry,Early_Career,Senior
110,42.0,Female,Master,Senior Graphic Designer,15.0,110000.0,USA,Asian,Senior,Mid_Career,Senior
111,37.0,Male,Bachelor,Software Project Manager,9.0,95000.0,UK,White,Mid,Mid_Career,Senior
112,50.0,Female,Bachelor,Supply Chain Analyst,22.0,130000.0,UK,Welsh,Expert,Senior_Career,Junior
113,32.0,Male,Master,Senior Business Analyst,6.0,90000.0,USA,Asian,Mid,Early_Career,Senior
114,23.0,Female,Bachelor,Junior Marketing Analyst,0.5,35000.0,USA,White,Entry,Young,Junior
115,31.0,Male,Master,Senior Financial Analyst,6.0,95000.0,Australia,Asian,Mid,Early_Career,Senior
116,40.0,Female,Bachelor,Office Manager,15.0,65000.0,USA,White,Senior,Mid_Career,Senior
117,48.0,Male,PhD,Principal Engineer,20.0,170000.0,USA,Hispanic,Senior,Senior_Career,Senior
118,29.0,Female,Bachelor,Junior Hr Generalist,3.0,45000.0,Australia,Australian,Junior,Early_Career,Junior
119,35.0,Male,Master,Senior Product Manager,10.0,120000.0,Canada,White,Mid,Early_Career,Senior
120,42.0,Female,Bachelor,Sales Manager,17.0,100000.0,China,Korean,Senior,Mid_Career,Senior
121,53.0,Male,Master,Director Of Marketing,25.0,180000.0,UK,Mixed,Expert,Senior_Career,Senior
122,33.0,Female,Bachelor,Junior Operations Analyst,5.0,50000.0,Australia,Australian,Junior,Early_Career,Junior
123,38.0,Male,Bachelor,Customer Service Manager,11.0,80000.0,China,White,Senior,Mid_Career,Senior
124,44.0,Female,PhD,Senior Scientist,16.0,140000.0,UK,Mixed,Senior,Mid_Career,Senior
125,26.0,Male,Bachelor,Junior Accountant,2.0,40000.0,UK,White,Entry,Early_Career,Junior
126,37.0,Female,Master,Senior Hr Generalist,9.0,95000.0,USA,African American,Mid,Mid_Career,Senior
127,45.0,Male,Bachelor,Sales Operations Manager,18.0,110000.0,UK,White,Senior,Mid_Career,Senior
128,32.0,Female,Bachelor,Marketing Coordinator,4.0,50000.0,USA,White,Junior,Early_Career,Junior
129,34.0,Male,Master,Senior Software Developer,8.0,105000.0,Canada,White,Mid,Early_Career,Senior
130,50.0,Female,Master,Director Of Operations,21.0,160000.0,UK,White,Expert,Senior_Career,Senior
131,29.0,Male,Bachelor,Junior Web Designer,3.0,45000.0,China,White,Junior,Early_Career,Junior
132,40.0,Female,Master,Senior Training Specialist,12.0,100000.0,Canada,Black,Senior,Mid_Career,Senior
133,47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,USA,Hispanic,Expert,Senior_Career,Senior
134,27.0,Male,Bachelor,Junior Sales Representative,1.0,35000.0,UK,Mixed,Entry,Early_Career,Junior
135,39.0,Female,Bachelor,Administrative Assistant,10.0,55000.0,Canada,Black,Mid,Mid_Career,Junior
136,46.0,Male,Master,Senior Project Manager,19.0,140000.0,Canada,Black,Senior,Senior_Career,Senior
137,30.0,Female,Bachelor,Junior Marketing Manager,4.0,50000.0,Canada,White,Junior,Early_Career,Senior
138,36.0,Male,Bachelor,Junior Data Analyst,7.0,60000.0,Australia,Asian,Mid,Mid_Career,Junior
139,43.0,Female,Master,Senior Product Marketing Manager,14.0,120000.0,Australia,White,Senior,Mid_Career,Senior
140,28.0,Male,Bachelor,Junior Business Analyst,2.0,40000.0,USA,White,Entry,Early_Career,Junior
141,41.0,Female,Master,Senior Marketing Manager,13.0,110000.0,Australia,Australian,Senior,Mid_Career,Senior
142,33.0,Male,Bachelor,Junior Software Developer,5.0,50000.0,USA,Hispanic,Junior,Early_Career,Junior
143,47.0,Male,Bachelor,Senior Sales Manager,20.0,135000.0,China,White,Senior,Senior_Career,Senior
144,25.0,Female,Master,Junior Marketing Specialist,1.5,40000.0,Australia,Asian,Entry,Young,Junior
145,34.0,Male,Bachelor,Senior Business Analyst,8.0,90000.0,Australia,Asian,Mid,Early_Career,Senior
146,42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,China,Chinese,Senior,Mid_Career,Senior
147,31.0,Male,Bachelor,Junior Project Manager,4.0,60000.0,UK,Welsh,Junior,Early_Career,Senior
148,38.0,Female,Bachelor,Senior Accountant,10.0,80000.0,USA,African American,Mid,Mid_Career,Senior
149,45.0,Male,Master,Director Of Sales,19.0,175000.0,Canada,Black,Senior,Mid_Career,Senior
150,29.0,Female,Bachelor,Junior Recruiter,3.0,45000.0,Australia,Australian,Junior,Early_Career,Junior
151,36.0,Male,Master,Senior Business Development Manager,11.0,120000.0,Canada,Black,Senior,Mid_Career,Senior
152,43.0,Female,PhD,Senior Product Designer,18.0,140000.0,Australia,Asian,Senior,Mid_Career,Senior
153,26.0,Male,Bachelor,Junior Customer Support Specialist,2.0,35000.0,USA,Asian,Entry,Early_Career,Junior
154,37.0,Female,Master,Senior Marketing Analyst,9.0,95000.0,Canada,White,Mid,Mid_Career,Senior
155,44.0,Male,Bachelor,Senior It Support Specialist,14.0,110000.0,USA,African American,Senior,Mid_Career,Senior
156,32.0,Female,Bachelor,Junior Financial Analyst,5.0,50000.0,USA,Asian,Junior,Early_Career,Junior
157,33.0,Male,Master,Senior Operations Manager,7.0,115000.0,China,Korean,Mid,Early_Career,Senior
158,51.0,Female,PhD,Director Of Human Resources,23.0,185000.0,China,Chinese,Expert,Senior_Career,Senior
159,28.0,Male,Bachelor,Junior Software Engineer,2.0,40000.0,Australia,White,Entry,Early_Career,Junior
160,39.0,Female,Bachelor,Senior Sales Representative,12.0,90000.0,USA,Asian,Senior,Mid_Career,Senior
161,48.0,Male,Master,Director Of Product Management,21.0,175000.0,USA,Asian,Expert,Senior_Career,Senior
162,30.0,Female,Bachelor,Junior Copywriter,3.0,45000.0,UK,Mixed,Junior,Early_Career,Junior
163,35.0,Male,Bachelor,Senior Marketing Coordinator,7.0,80000.0,China,White,Mid,Early_Career,Senior
164,41.0,Female,Master,Senior Human Resources Manager,13.0,120000.0,China,Korean,Senior,Mid_Career,Senior
165,27.0,Male,Bachelor,Junior Business Development Associate,1.5,35000.0,China,White,Entry,Early_Career,Junior
166,40.0,Female,Bachelor,Senior Account Manager,14.0,110000.0,Australia,Australian,Senior,Mid_Career,Senior
167,46.0,Male,PhD,Senior Researcher,18.0,150000.0,Canada,Black,Senior,Senior_Career,Senior
168,31.0,Female,Bachelor,Junior Hr Coordinator,4.0,50000.0,China,Korean,Junior,Early_Career,Junior
169,34.0,Male,Master,Senior Software Engineer,9.0,105000.0,China,Korean,Mid,Early_Career,Senior
170,50.0,Female,Master,Director Of Finance,20.0,180000.0,Australia,Australian,Senior,Senior_Career,Senior
171,29.0,Male,Bachelor,Junior Marketing Coordinator,2.0,40000.0,Canada,Asian,Entry,Early_Career,Junior
172,33.62085944494181,Male,Bachelor,Software Engineer,8.094687360095508,115000.0,UK,White,Mid,Early_Career,Junior
173,43.0,Male,Bachelor,Senior Project Manager,16.0,140000.0,UK,White,Senior,Mid_Career,Senior
174,26.0,Female,Master,Junior Data Scientist,1.5,45000.0,Canada,Asian,Entry,Early_Career,Junior
175,35.0,Male,Bachelor,Senior Operations Analyst,7.0,85000.0,China,White,Mid,Early_Career,Senior
176,42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0,UK,Asian,Senior,Mid_Career,Senior
177,31.0,Male,Bachelor,Junior Accountant,4.0,50000.0,UK,Welsh,Junior,Early_Career,Junior
178,38.0,Female,Bachelor,Senior Human Resources Coordinator,10.0,80000.0,UK,Asian,Mid,Mid_Career,Senior
179,46.0,Male,Master,Director Of Operations,20.0,170000.0,USA,Asian,Senior,Senior_Career,Senior
180,29.0,Female,Bachelor,Junior Sales Representative,2.0,40000.0,UK,Welsh,Entry,Early_Career,Junior
181,37.0,Male,Master,Senior Business Analyst,9.0,105000.0,China,Chinese,Mid,Mid_Career,Senior
182,44.0,Female,PhD,Senior Ux Designer,15.0,145000.0,USA,Hispanic,Senior,Mid_Career,Senior
183,27.0,Male,Bachelor,Junior Product Manager,2.0,40000.0,USA,Hispanic,Entry,Early_Career,Senior
184,36.0,Female,Bachelor,Senior Marketing Specialist,8.0,85000.0,USA,African American,Mid,Mid_Career,Senior
185,43.0,Male,Bachelor,Senior It Project Manager,14.0,130000.0,China,Chinese,Senior,Mid_Career,Senior
186,33.0,Female,Master,Senior Financial Analyst,6.0,95000.0,Canada,White,Mid,Early_Career,Senior
187,34.0,Male,Bachelor,Senior Quality Assurance Analyst,9.0,100000.0,UK,Mixed,Mid,Early_Career,Senior
188,50.0,Female,PhD,Director Of Sales And Marketing,22.0,180000.0,China,Korean,Expert,Senior_Career,Senior
189,28.0,Male,Bachelor,Junior Operations Analyst,1.5,35000.0,UK,Welsh,Entry,Early_Career,Junior
190,39.0,Female,Bachelor,Senior Account Executive,12.0,95000.0,USA,African American,Senior,Mid_Career,Senior
191,47.0,Male,Master,Director Of Business Development,19.0,170000.0,Australia,Asian,Senior,Senior_Career,Senior
192,30.0,Female,Bachelor,Junior Social Media Manager,3.0,45000.0,Australia,Australian,Junior,Early_Career,Senior
193,34.0,Male,Bachelor,Senior Product Manager,7.0,95000.0,China,Chinese,Mid,Early_Career,Senior
194,40.0,Female,Master,Senior Human Resources Specialist,13.0,120000.0,UK,Welsh,Senior,Mid_Career,Senior
195,28.0,Male,Bachelor,Junior Business Analyst,2.0,40000.0,USA,African American,Entry,Early_Career,Junior
196,41.0,Female,Bachelor,Senior Marketing Coordinator,11.0,90000.0,Canada,Asian,Senior,Mid_Career,Senior
197,45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,UK,Asian,Senior,Mid_Career,Senior
198,32.0,Female,Bachelor,Junior Account Manager,5.0,55000.0,Australia,Asian,Junior,Early_Career,Senior
199,35.0,Male,Master,Senior Software Developer,9.0,110000.0,Canada,Asian,Mid,Early_Career,Senior
200,49.0,Female,Master,Director Of Human Capital,21.0,180000.0,UK,Mixed,Expert,Senior_Career,Senior
201,30.0,Male,Bachelor,Junior Advertising Coordinator,3.0,45000.0,UK,White,Junior,Early_Career,Junior
202,44.0,Male,Bachelor,Senior Sales Manager,16.0,130000.0,USA,Asian,Senior,Mid_Career,Senior
203,27.0,Female,Master,Junior Ux Designer,1.5,45000.0,USA,Hispanic,Entry,Early_Career,Junior
204,36.0,Male,Bachelor,Senior Accountant,7.0,90000.0,Canada,White,Mid,Mid_Career,Senior
205,41.0,Female,PhD,Senior Marketing Director,17.0,160000.0,UK,Mixed,Senior,Mid_Career,Senior
206,31.0,Male,Bachelor,Junior Hr Generalist,4.0,50000.0,China,Chinese,Junior,Early_Career,Junior
207,39.0,Female,Bachelor,Senior Operations Manager,10.0,120000.0,Australia,Asian,Mid,Mid_Career,Senior
208,47.0,Male,Master,Director Of Finance,20.0,170000.0,Australia,Australian,Senior,Senior_Career,Senior
209,30.0,Female,Bachelor,Junior Marketing Coordinator,2.0,40000.0,China,Korean,Entry,Early_Career,Junior
210,38.0,Male,Master,Senior It Consultant,9.0,110000.0,China,White,Mid,Mid_Career,Senior
211,45.0,Female,PhD,Senior Product Designer,15.0,150000.0,China,Chinese,Senior,Mid_Career,Senior
212,28.0,Male,Bachelor,Junior Business Development Associate,2.0,40000.0,USA,Asian,Entry,Early_Career,Junior
213,35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0,USA,White,Mid,Early_Career,Senior
214,44.0,Male,Bachelor,Senior Software Engineer,14.0,130000.0,China,Chinese,Senior,Mid_Career,Senior
215,34.0,Female,Master,Senior Financial Advisor,6.0,100000.0,UK,Welsh,Mid,Early_Career,Senior
216,35.0,Male,Bachelor,Senior Project Coordinator,9.0,95000.0,Canada,White,Mid,Early_Career,Senior
217,50.0,Female,PhD,Director Of Operations,22.0,180000.0,Australia,Australian,Expert,Senior_Career,Senior
218,29.0,Male,Bachelor,Junior Business Operations Analyst,1.5,35000.0,UK,Asian,Entry,Early_Career,Junior
219,40.0,Female,Bachelor,Senior Sales Representative,12.0,100000.0,China,Chinese,Senior,Mid_Career,Senior
220,48.0,Male,Master,Director Of Marketing,19.0,170000.0,USA,Hispanic,Senior,Senior_Career,Senior
221,31.0,Female,Bachelor,Junior Social Media Specialist,3.0,45000.0,UK,Welsh,Junior,Early_Career,Junior
222,33.0,Male,Bachelor,Senior Product Development Manager,7.0,100000.0,USA,Hispanic,Mid,Early_Career,Senior
223,42.0,Female,Master,Senior Human Resources Manager,13.0,140000.0,China,White,Senior,Mid_Career,Senior
224,28.0,Male,Bachelor,Junior Financial Analyst,2.0,40000.0,Australia,Australian,Entry,Early_Career,Junior
225,40.0,Female,Bachelor,Senior Marketing Manager,11.0,105000.0,UK,White,Senior,Mid_Career,Senior
226,46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,Canada,White,Senior,Senior_Career,Senior
227,33.0,Female,Bachelor,Junior Operations Manager,5.0,70000.0,Australia,Asian,Junior,Early_Career,Senior
228,37.0,Male,Master,Senior Software Architect,9.0,120000.0,Australia,Australian,Mid,Mid_Career,Senior
229,51.0,Female,Master,Director Of Human Resources,21.0,190000.0,USA,Hispanic,Expert,Senior_Career,Senior
230,30.0,Male,Bachelor,Junior Marketing Specialist,3.0,45000.0,Canada,Black,Junior,Early_Career,Junior
231,43.0,Male,Bachelor,Senior Project Manager,15.0,120000.0,Canada,Asian,Senior,Mid_Career,Senior
232,27.0,Female,Master,Junior Research Scientist,1.5,50000.0,China,White,Entry,Early_Career,Junior
233,35.0,Male,Bachelor,Senior Operations Analyst,8.0,85000.0,Canada,White,Mid,Early_Career,Senior
234,42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0,Canada,White,Senior,Mid_Career,Senior
235,32.0,Male,Bachelor,Junior Sales Representative,3.0,45000.0,Australia,White,Junior,Early_Career,Junior
236,37.0,Female,Bachelor,Senior Financial Analyst,9.0,100000.0,UK,Welsh,Mid,Mid_Career,Senior
237,45.0,Male,Master,Senior Software Developer,16.0,140000.0,Australia,Asian,Senior,Mid_Career,Senior
238,33.0,Female,Bachelor,Junior Operations Analyst,5.0,70000.0,Canada,Asian,Junior,Early_Career,Junior
239,39.0,Male,Bachelor,Senior Marketing Specialist,10.0,120000.0,Canada,Black,Mid,Mid_Career,Senior
240,44.0,Female,PhD,Senior Hr Manager,18.0,160000.0,Canada,White,Senior,Mid_Career,Senior
241,29.0,Male,Bachelor,Junior Business Analyst,1.5,40000.0,Australia,Australian,Entry,Early_Career,Junior
242,38.0,Female,Bachelor,Senior Product Manager,10.0,120000.0,China,Korean,Mid,Mid_Career,Senior
243,46.0,Male,PhD,Senior Data Analyst,19.0,150000.0,UK,Asian,Senior,Senior_Career,Senior
244,34.0,Female,Bachelor,Junior Marketing Analyst,6.0,70000.0,USA,Asian,Mid,Early_Career,Junior
245,36.0,Male,Bachelor,Senior Operations Manager,8.0,95000.0,USA,White,Mid,Mid_Career,Senior
246,49.0,Female,Master,Director Of Marketing,21.0,180000.0,Canada,White,Expert,Senior_Career,Senior
247,31.0,Male,Bachelor,Junior Financial Analyst,3.0,50000.0,Canada,Black,Junior,Early_Career,Junior
248,41.0,Female,Bachelor,Senior Project Coordinator,11.0,95000.0,USA,African American,Senior,Mid_Career,Senior
249,47.0,Male,Master,Director Of Operations,20.0,170000.0,Canada,White,Senior,Senior_Career,Senior
250,30.0,Female,Bachelor,Junior Marketing Coordinator,2.0,40000.0,USA,White,Entry,Early_Career,Junior
251,38.0,Male,Master,Senior It Consultant,9.0,110000.0,Australia,Australian,Mid,Mid_Career,Senior
252,45.0,Female,PhD,Senior Product Designer,15.0,150000.0,China,Korean,Senior,Mid_Career,Senior
253,28.0,Male,Bachelor,Junior Business Development Associate,2.0,40000.0,USA,Asian,Entry,Early_Career,Junior
254,35.0,Female,Bachelor,Senior Marketing Analyst,8.0,85000.0,Canada,White,Mid,Early_Career,Senior
255,44.0,Male,Bachelor,Senior Software Engineer,14.0,130000.0,Australia,Australian,Senior,Mid_Career,Senior
256,34.0,Female,Master,Senior Financial Advisor,6.0,100000.0,Australia,Australian,Mid,Early_Career,Senior
257,35.0,Male,Bachelor,Senior Project Coordinator,9.0,95000.0,UK,Asian,Mid,Early_Career,Senior
258,50.0,Female,PhD,Director Of Operations,22.0,180000.0,Australia,White,Expert,Senior_Career,Senior
